Title,Genre,Plot,Keywords
Talk Radio,drama,"Barry Champlain, a Jewish radio personality in Dallas, Texas, is a host with a caustic sense of humor and a knack for condescending his audience with his controversial politically left-wing views.
Champlain's radio show is about to go nationwide. A former suit salesman, he achieves his rise to fame through guest shots on the Jeff Fisher radio show. Barry begins to steal the show with his acerbic sense of humor and sharp wit, which aggravates Fisher. Barry is subsequently given his own show which rises to the top of the Arbitron radio ratings. Barry receives calls from people who appreciate him for what he does and how he does it as well as people who seem to hate him. Attacking everyone from gays to drug addicts to rednecks to African Americans, he has a substantial number of hostile callers, from people who take offense to his attitude to radical right wingers to hate groups phoning in to harass and intimidate him. He receives threatening fan mail when one caller makes a bomb threat. His rise to fame is accompanied not only with attention from radical far-right elements, but also with the alienation of his wife.
As his show is going through a final audition to go into national syndication, Barry grows increasingly isolated and asks his ex-wife Ellen to come and visit him, saying he needs her input and that she's the only person he trusts. They attempt a return to their relationship. Using a fake name and calling from the radio studio, Ellen talks to Barry on the air—the only place he seems to relate to people openly—in an attempt to reach him, to bring him back from the depression he seems to be suffering from. She begs for him to come back, but Barry refuses, bitterly attacking her as the radio production staff, all friends of Ellen, watch in horror; Ellen walks away. Barry confesses his true intentions, admitting he cares more for personal gain than the societal ills he addresses and refusing to apologize for his hypocrisy. He shouts that the American people scare him because of what has happened to his friends, family, and co-workers. He berates his callers that they have nothing worth saying, and that they tolerate his abuse and return for more. He screams at them to go away, seemingly unaware of the obvious fact that he attracts his own listeners and most of the ire he receives. In the end he realizes he has made his own bed and is as stuck with them as they are with him. Despite Barry's meltdown, his co-workers tell him it's now the highest rated segment in the show's history and his boss adds that the show is going to go national.
While walking to his car, an apparent fan asks for his autograph. As Barry signs it, the ""fan"" pulls out a gun and shoots him several times, killing him. As the film ends, callers to Barry's show, then his co-workers and Ellen, speak on air about him. They say that Barry was a talented, smart and funny man, but maybe he finally pushed someone too far.",drama barry champlain jewish radio personality dallas texas host caustic sense humor knack condescend audience controversial politically left wing view champlain radio nationwide suit salesman achieve rise fame guest shot jeff fisher radio barry begin steal acerbic sense humor sharp wit aggravate fisher barry subsequently give rise arbitron radio rating barry receive call people appreciate people hate attack gay drug addict redneck african americans substantial number hostile caller people offense attitude radical right winger hate group phone harass intimidate receive threaten fan mail caller make bomb threat rise fame accompany attention radical far right element alienation wife go final audition national syndication barry grow increasingly isolated ask ex wife ellen come visit say need input person trust attempt return relationship fake call radio studio ellen talk barry air place relate people openly attempt reach bring depression suffer beg come barry refuse bitterly attack radio production staff friend ellen watch horror ellen walk away barry confess true intention admit care personal gain societal ill address refuse apologize hypocrisy shout american people scare happen friend family co worker berate caller worth say tolerate abuse return scream away seemingly unaware obvious fact attract listener ire receive end realize bed stick despite barry meltdown co worker tell highest rate segment history boss add go national walk car apparent fan ask autograph barry sign fan pull gun shoot time kill film end caller barry co worker ellen speak air barry talented smart funny man maybe finally push far
The Dunwich Horror,horror,"A woman groans and writhes with the pain of childbirth in a bedroom from a bygone era as two elderly women - who appear to be twins - and an elderly man watch. She is then led out of the room by the elderly man.
At the Miskatonic University in Arkham, Massachusetts, Dr. Henry Armitage has just finished a lecture on the local history and the very rare and priceless book known as the Necronomicon. He gives the book to his student Nancy Wagner to return to the library. She is followed by a stranger, who later introduces himself as Wilbur Whateley. Wilbur asks to see the book, and though it is closing time and the book is reputedly the only copy in existence, Nancy allows it under the influence of his hypnotic gaze.
Wilbur's perusal of the book is cut short by Henry, who has researched Wilbur's family's sordid past. His warnings about the Whateley's go unheeded by Nancy, who decides to give Wilbur a ride back to Dunwich after he misses his bus, perhaps purposely. At a gas station on the outskirts of town, Nancy first encounters the ill-esteem in which the locals hold Wilbur.
Once back at the Whateley house, she meets Old Whateley, Wilbur's grandfather. Her car is then disabled and she is drugged by Wilbur. She decides under the influence of hypnosis and drugs to spend the weekend, and does not change her mind when Henry and Nancy's classmate Elizabeth arrive from Arkham the next morning. The duo does not abandon Nancy, however. They investigate further and discover that Wilbur's mother, Lavinia, is still alive and in an asylum. The town doctor, Dr. Cory informs Henry that Lavinia delivered twins when Wilbur was born, but one was stillborn, though he was not there for the delivery and never saw the body. The childbirth was very traumatic and Lavinia ""lost her mind"" during it, and nearly died.
In the meantime, on the advice of the locals, Elizabeth enters the Whateley house looking for Nancy. She opens a locked door, and releases a creature which appears to be Wilbur's monstrous twin, who kills her and escapes. Upon Wilbur and Nancy's return, Old Whateley confronts them about the presence of the Nancy's car, and in the ensuing argument, falls down the stairs and dies. Wilbur takes him to the local cemetery for a decidedly non-Christian burial, but the local townsfolk vociferously stop him.
Wilbur's twin runs amok in Dunwich, killing several people. Lavinia dies in the asylum, looking much older than her 45 years. The Whateley estate burns down in a conflagration that may have to do with a pagan ritual. At the top of a coastal cliff, Wilbur prepares Nancy for sacrifice to bring back what he calls ""The Old Ones."" Confronted by Armitage, Wilbur chants and calls down his demon father as his adversary chants reverse spells. Wilbur is struck by lightning in the ritual and falls in a ball of fire into the sea.
Finally, the physically unharmed Nancy is escorted off the sacrificial altar by Armitage and Cory, who calm her by stating that the Whateley line has ended. Nancy is pregnant, presumably with Wilbur's ill-conceived child.",horror woman groan writhe pain childbirth bedroom bygone era elderly woman appear twin elderly man watch lead room elderly man miskatonic university arkham massachusetts dr henry armitage finish lecture local history rare priceless book know necronomicon give book student nancy wagner return library follow stranger later introduce wilbur whateley wilbur ask book close time book reputedly copy existence nancy allow influence hypnotic gaze wilbur perusal book cut short henry research wilbur family sordid past warning whateley unheede nancy decide wilbur ride dunwich miss bus purposely gas station outskirt town nancy encounter ill esteem local hold wilbur whateley house meet old whateley wilbur grandfather car disabled drug wilbur decide influence hypnosi drug spend weekend change mind henry nancy classmate elizabeth arrive arkham morning duo abandon nancy investigate discover wilbur mother lavinia alive asylum town doctor dr cory informs henry lavinia deliver twin wilbur bear stillborn delivery see body childbirth traumatic lavinia lose mind nearly die meantime advice local elizabeth enter whateley house look nancy open locked door release creature appear wilbur monstrous twin kill escape wilbur nancy return old whateley confront presence nancy car ensue argument fall stair die wilbur take local cemetery decidedly non christian burial local townsfolk vociferously stop wilbur twin run amok dunwich kill people lavinia die asylum look old year whateley estate burn conflagration pagan ritual coastal cliff wilbur prepare nancy sacrifice bring call old one confront armitage wilbur chant call demon father adversary chant reverse spell wilbur strike lightning ritual fall ball fire sea finally physically unharmed nancy escort sacrificial altar armitage cory calm state whateley line end nancy pregnant presumably wilbur ill conceive child
Chain of Desire,romance,"A series of unrelated amorous lovers are connected by a chain of desire. It begins when a woman named Alma flees from a would-be lover. She runs into a church, where she meets a man named Jesus and they eventually make love.
Jesus goes home to wife Isa and they make love. Isa leaves for an appointment with Dr. Buckley, with whom she is having an affair. Buckley then visits Linda, a dominatrix. Linda goes home to husband Hubert, a television commentator. Hubert has sex without her knowledge with a male teen, Keith.
Keith is introduced to exotic dancer Diana, who then has a fling with a much older artist, Mel. He goes home to an angry wife, Cleo. And that night, all of these people end up at a nightclub where Alma is performing. Alma has just learned that the lover she fled has been diagnosed with AIDS.",romance series unrelated amorous lover connect chain desire begin woman name alma flee lover run church meet man name jesus eventually love jesus go home wife isa love isa leave appointment dr buckley have affair buckley visit linda dominatrix linda go home husband hubert television commentator hubert sex knowledge male teen keith keith introduce exotic dancer diana fling old artist mel go home angry wife cleo night people end nightclub alma perform alma learn lover flee diagnose aid
Raising a Riot,comedy,"Commander Peter Kent of the Royal Navy and his wife May have three children, ranging from five to eleven years: Peter, Anne and Fusty. Kent comes home after three years abroad with no idea how to handle the children. When Mary has to fly to Canada, Peter takes his children to his father's new country home, which turns out to be a windmill. They end up clashing with an American family in the neighbourhood.",comedy commander peter kent royal navy wife child range year peter anne fusty kent come home year abroad idea handle child mary fly canada peter take child father new country home turn windmill end clash american family neighbourhood
Lolita,drama,"In 1947, Humbert Humbert (Jeremy Irons), a middle-aged European professor of French literature, travels to the United States to take a teaching position in New Hampshire. He rents a room in the home of widow Charlotte Haze (Melanie Griffith), largely because he is romantically attracted to her adolescent daughter Dolores (Dominique Swain), also called ""Lo"", who he sees while touring the house. Obsessed from boyhood with girls of approximately her age (whom he calls ""nymphets""), Humbert is immediately smitten with Lo and gets married to Charlotte only just to be near her daughter.
Charlotte finds Humbert's secret diary and discovers his preference for her daughter. Furious, Charlotte runs out of the house, when she is struck by a car and killed. Her death frees Humbert to pursue a romantic and sexual relationship with Lo, whom he nicknames ""Lolita"". Humbert and Lo then travel the country, staying in various motels before eventually settling in the college town of Beardsley, where Humbert takes a teaching job and Lo begins attending an all-girls Catholic school. However, Lo's increasing boredom with Humbert, combined with her growing desire for independence, fuels a constant tension that lead to a fight between them. Humbert's affection for Lo is also rivaled by another man, playwright Clare Quilty (Frank Langella), who has been pursuing Lo since the beginning of the pair's travels. Lo eventually escapes with Quilty, whose name Humbert doesn't know and searches for them unsuccessfully.
Three years later, Humbert receives a letter from Lo asking for money. Humbert visits Lo, who is now married and pregnant. Humbert asks her to run away with him, but she refuses. He relents and gives her a substantial amount of money. Lo also reveals to Humbert how Quilty actually tracked young girls and took them to Pavor Manor, his home in Parkington, to exploit them for child pornography. Quilty abandoned her after she refused to be in one of his films.
After his visit with Lo, Humbert tracks down Quilty and murders him. After being chased by the police, Humbert is arrested and sent to prison. He dies in November 1950, and Lo dies the next month on Christmas Day from childbirth complications.",drama humbert humbert jeremy iron middle aged european professor french literature travel united states teaching position new hampshire rent room home widow charlotte haze melanie griffith largely romantically attract adolescent daughter dolore dominique swain call lo see tour house obsess boyhood girl approximately age call nymphet humbert immediately smite lo get married charlotte near daughter charlotte find humbert secret diary discover preference daughter furious charlotte run house strike car kill death free humbert pursue romantic sexual relationship lo nickname lolita humbert lo travel country stay motel eventually settle college town beardsley humbert take teaching job lo begin attend girl catholic school lo increase boredom humbert combine grow desire independence fuel constant tension lead fight humbert affection lo rival man playwright clare quilty frank langella pursue lo beginning pair travel lo eventually escape quilty humbert know search unsuccessfully year later humbert receive letter lo ask money humbert visit lo married pregnant humbert ask run away refuse relent give substantial money lo reveal humbert quilty actually track young girl take pavor manor home parkington exploit child pornography quilty abandon refuse film visit lo humbert track quilty murder chase police humbert arrest send prison die november lo die month christmas day childbirth complication
Oru Muthassi Gadha,comedy,"It narrates the story of a wealthy grandmother, Susamma who helps to change her daughter Jeena's Mother in law Leelamma's repressed behavior by fulfilling her bucket list. Later they together start a make a wish group for elderly and abandoned people.
Sibi (Suraj Venjaramoodu) lives, with his wife Jeena (Lena), daughter Alice (Aparna Balamurali), son Alan (Nohad Shajahan) and his aged Mother, Leelamma (Rajini Chandy), in Kochi. Leelamma, is ill-tempered and meddles with everyone and harasses activities of hired helps. Due to her harassment, nobody agrees to work for them until Babu, a Bengali worker agrees to work for them. Leelamma surprisingly gets along well with Babu and the family gets some respite for a while. On his Boss's (Vijayaraghavan) suggestion he decides to go for a family trip.
However, on the day before the trip Leelamma due to an altercation with Sibi, backs out of the trip. Sibi and his family decide to continue with the planned trip and call up Sibi's Mother-in-law, Susamma (Bhagyalakshmi) to keep her company. Susamma is sociable and modern in outlook, she is well versed with technology and open to new age fun. After some initial well-meaning tiffs Leelamma and Susamma bond with each other. The two along with Babu decide to celebrate Leelamma's birthday and complete her bucket wish list. On one night after a celebratory round of drinks, Leelamma starts narrating her love story from her college days involving her then classmate Zachariah (Vineeth Sreenivasan). She, however, passes out before she can finish her story. The next day, she wakes up to an eager Susamma waiting for the ending. Leelamma continues to say she broke-up with him and regrets that she could not meet him.
Susamma finds all this pent up anger in Leelama is due to this absence of closure in her early life and decides to find Zachariah. They initially planned on going with Babu but the next day, they realize he had left the place without informing them. Not knowing what to do, as Susamma could not drive to far places, they had asked the help of Alice (Aparna Balamurali), their granddaughter whose boyfriend, Milind, tagged along as someone might harass Alice. Together with Leelamma, Alice and Milind (Rajeev Pillai) Susamma visits Zachariah's native place Kurathikad. They unexpectedly find Babu there with their neighbor's daughter and finds out he isn't a Bengali but acted as such to stay in touch with his lover. Along with some help from Babu, Leelamma's old classmate Kurup and his grandson, Briley (Jude Anthany Joseph), they locate the now aged Zachariah (Sreenivasan). However, upon meeting with Zachariah, Leelamma slaps him and leaves from there immediately.
On the way back to an angered Susamma, Leelamma reveals that, she had purposefully misled Susamma with the ending of her love-story in order to slap Zachariah who had left Leelamma to fly to the USA on a scholarship after jilting her through a letter and that now she feels relieved. Leelamma and Susamma, later go to an old age home and reveals their plan to institute a program called 'Oru Muthassi Gadha' whereby every month they help complete one wish off one inmate which they never had a chance to fulfill in their youth. The pair then proceeds with Babu to Airport to fly America and complete remaining items on Leelamma's bucket-list.",comedy narrate story wealthy grandmother susamma help change daughter jeena mother law leelamma repressed behavior fulfil bucket list later start wish group elderly abandon people sibi suraj venjaramoodu life wife jeena lena daughter alice aparna balamurali son alan nohad shajahan aged mother leelamma rajini chandy kochi leelamma ill temper meddle harass activity hire help harassment agree work babu bengali worker agree work leelamma surprisingly get babu family get respite boss vijayaraghavan suggestion decide family trip day trip leelamma altercation sibi back trip sibi family decide continue plan trip sibi mother law susamma bhagyalakshmi company susamma sociable modern outlook verse technology open new age fun initial mean tiff leelamma susamma bond babu decide celebrate leelamma birthday complete bucket wish list night celebratory round drink leelamma start narrate love story college day involve classmate zachariah vineeth sreenivasan pass finish story day wake eager susamma wait ending leelamma continue break regret meet susamma find pen anger leelama absence closure early life decide find zachariah initially plan go babu day realize leave place inform know susamma drive far place ask help alice aparna balamurali granddaughter boyfriend milind tag harass alice leelamma alice milind rajeev pillai susamma visit zachariah native place kurathikad unexpectedly find babu neighbor daughter find bengali act stay touch lover help babu leelamma old classmate kurup grandson briley jude anthany joseph locate aged zachariah sreenivasan meeting zachariah leelamma slap leave immediately way angered susamma leelamma reveal purposefully mislead susamma ending love story order slap zachariah leave leelamma fly usa scholarship jilt letter feel relieve leelamma susamma later old age home reveal plan institute program call oru muthassi gadha month help complete wish inmate chance fulfill youth pair proceed babu airport fly america complete remain item leelamma bucket list
Anuraag,drama,"A blind sculptor, Shivani (Moushumi Chatterjee) stays in an ashram and makes friends with a small boy (Satyajit), who is suffering from cancer. She falls in love with Rajesh (Vinod Mehra). Rajesh asks his parents to permit him to marry her, to which his mother agrees, but his father refuses under her present condition. Then, an eye specialist reveals that an eye replacement would cure her.
Later, as a dying wish, the young boy donates his eyes to her, thus granting her eyesight for the first time in her life.[3]",drama blind sculptor shivani moushumi chatterjee stay ashram make friend small boy satyajit suffer cancer fall love rajesh vinod mehra rajesh ask parent permit marry mother agree father refuse present condition eye specialist reveal eye replacement cure later die wish young boy donate eye grant eyesight time
Two Weeks in September,drama,Model Cecile spends two weeks away from her older lover Philippe and is tempted by a younger man.,drama model cecile spend week away old lover philippe tempt young man
Enter Laughing,comedy,"David Kolowitz (Santoni) works as a delivery boy and assistant for a machine shop in New York City in 1938, and is fascinated with the movies.
Despite the misgivings of his girlfriend Wanda (Margolin), his parents (Winters and David Opatoshu) and his employer (Gilford), David follows the suggestion of a friend (Michael J. Pollard) and becomes involved with an off-Broadway theater company run by Harrison B. Marlowe (Ferrer). He admires Ronald Colman so he uses the stage name ""Donald Colman"".
It is a margin operation that requires him to pay $5 a week for ""tuition"". Marlowe's daughter (May) takes a romantic interest in David, who perseveres despite a lack of acting talent and the hostility of Marlowe.
Overcoming all the difficulties, he makes his acting debut and his parents and girlfriend accept his new interest.",comedy david kolowitz santoni work delivery boy assistant machine shop new york city fascinate movie despite misgiving girlfriend wanda margolin parent winter david opatoshu employer gilford david follow suggestion friend michael pollard involve broadway theater company run harrison marlowe ferrer admire ronald colman use stage donald colman margin operation require pay week tuition marlowe daughter take romantic interest david persevere despite lack act talent hostility marlowe overcome difficulty make act debut parent girlfriend accept new interest
Breaking Away,"drama, comedy","Dave, Mike, Cyril, and Moocher are working-class friends living in the college town of Bloomington, Indiana. Now turning 19, they all graduated from high school the year before and are not sure what to do with their lives. They spend much of their time together swimming in an old abandoned water-filled quarry. They sometimes clash with the more affluent Indiana University students in their hometown, who habitually refer to them as ""cutters"", a derogatory term for locals related to the local Indiana Limestone industry and the stonecutters who worked the quarries.
Dave is obsessed with competitive bicycle racing, and Italian racers in particular, because he recently won a Masi bicycle. His down-to-earth father Ray, a former stonecutter who now operates his own used car business (sometimes unethically), is puzzled and exasperated by his son's love of Italian music and culture, which Dave associates with cycling. However, his mother Evelyn is more understanding and prepares Italian dishes for him.
Dave develops a crush on a university student named Katherine and masquerades as an Italian exchange student in order to romance her. One evening, he serenades ""Katerina"" outside her sorority house (Friedrich von Flotow's aria ""M' Apparì Tutt' Amor""), with Cyril providing guitar accompaniment. When her boyfriend Rod finds out, he and some of his fraternity brothers beat Cyril up, mistaking him for Dave. Though Cyril wants no trouble, Mike insists on tracking down Rod and starting a brawl. The university president (real-life then President Dr. John W. Ryan) reprimands the students for their arrogance toward the ""cutters"" and, over their objections, invites the latter to participate in the annual Indiana University Little 500 race.
When a professional Italian cycling team comes to town for a race, Dave is thrilled to be competing with them. However, the Italians become irked when Dave is able to keep up with them. One of them jams a tire pump in Dave's wheel, causing him to crash, which leaves him disillusioned. He is depressed to realize that the Italians were winning races because they were cheating. He subsequently confesses his deception to Katherine, who tearfully slaps him before storming off.
Dave's friends persuade him to join them in forming a cycling team for the Little 500. Dave's parents provide T-shirts with the name ""Cutters"" on them. Ray privately tells his son how, when he was a young stonecutter, he was proud to help provide the material to construct the university, yet he never felt comfortable on campus. Later, Dave runs into Katherine, who's going to be leaving for a job in Chicago; they patch things up, and she wishes him luck in the race.
Dave is so much better than the other competitors in the Little 500 that, while the college teams switch cyclists every few laps, he rides without a break and builds up a sizable lead. However, he is injured in a crash and has to stop. After some hesitation, Moocher, Cyril, and Mike take turns pedaling, but soon the Cutters' lead vanishes. Finally Dave has them tape his feet to the pedals and starts to make up lost ground; he overtakes Rod, the current rider for the favored fraternity team, on the last lap, and wins for the jubilant Cutters.
Ray is proud of his son's accomplishment and takes to riding a bicycle himself. Dave later enrolls at the university, where he meets a pretty French student. Soon, he is extolling to her the virtues of the Tour de France and French cyclists.",drama comedy dave mike cyril moocher working class friend live college town bloomington indiana turn graduate high school year sure life spend time swim old abandon water fill quarry clash affluent indiana university student hometown habitually refer cutter derogatory term local relate local indiana limestone industry stonecutter work quarry dave obsess competitive bicycle racing italian racer particular recently win masi bicycle earth father ray stonecutter operate car business unethically puzzle exasperate son love italian music culture dave associate cycling mother evelyn understanding prepare italian dish dave develop crush university student name katherine masquerade italian exchange student order romance evening serenade katerina outside sorority house friedrich von flotow aria m apparì tutt amor cyril provide guitar accompaniment boyfriend rod find fraternity brother beat cyril mistake dave cyril want trouble mike insist track rod start brawl university president real life president dr john ryan reprimand student arrogance cutter objection invite participate annual indiana university little race professional italian cycling team come town race dave thrill compete italians irk dave able jam tire pump dave wheel cause crash leave disillusioned depressed realize italians win race cheat subsequently confess deception katherine tearfully slap storm dave friend persuade join form cycling team little dave parent provide t shirt cutter ray privately tell son young stonecutter proud help provide material construct university feel comfortable campus later dave run katherine go leave job chicago patch thing wish luck race dave well competitor little college team switch cyclist lap ride break build sizable lead injure crash stop hesitation moocher cyril mike turn pedal soon cutter lead vanishe finally dave tape foot pedal start lose ground overtake rod current rider favor fraternity team lap win jubilant cutter ray proud son accomplishment take ride bicycle dave later enroll university meet pretty french student soon extoll virtue tour de france french cyclist
Secondhand Lions,comedy-drama,"14-year-old Walter (Haley Joel Osment) is left by his irresponsible mother, Mae (Kyra Sedgwick), to live for the summer with his reclusive, bachelor great-uncles, Hub (Robert Duvall) and Garth (Michael Caine). Despite living on a ramshackle Texan farm, they are said to have a secret fortune and are made the target of every traveling salesman. They, in turn, sit on their porch with shotguns, the salesmen their targets.
Walter is given a room in the attic and is not welcomed at first, until they realize he annoys other gold-digging relatives who visit with their children. For his part, Walter persuades his uncles to try spending some of their money, generally with disastrous results. Packets of seeds to plant a vegetable garden turn out all to be corn. Then they order a lion for an animal target and end up with an aging, tame lioness, which they turn over to Walter as a pet. Later, it is released by accident and takes to the cornfield, which becomes her new ""jungle"" home. While loading 50-pound bags of Lion Chow, Hub passes out and is taken to the hospital. On leaving, they encounter four greasers at a roadside store who draw switchblade knives on Hub, but are easily beaten by him in a fight.
A subplot develops around the photograph of a beautiful woman that Walter finds in the attic. In a series of flashbacks, Garth tells Walter the story of their African past, during which Hub fell in love with an Arab princess promised to a powerful Sheik. When they married, the Sheik put a price on Hub's head, keeping them in constant peril from assassins. Finally Hub won a duel against the Sheik but spared his life, warning him to cease the manhunt. When Walter asks to hear more from Hub, his uncle reveals that Jasmine died in childbirth. Hub then returned to the French Foreign Legion, until he retired with Garth to their farm, where they are resignedly waiting to die. Walter asks Hub for confirmation, since his mother always lies to him. Hub responds with a piece of his ""What Every Boy Needs to Know..."" speech, that the actual truth is not as important as belief in ideals. Walter then asks Hub to promise to be around to give him the rest of the speech when he's old enough and Hub grudgingly agrees.
Late one evening, Walter trails Garth and discovers they have a room filled with money underneath the barn. On another night, Walter's mother and her current boyfriend, a supposed ""private investigator"", arrive. While the uncles sleep, Stan and Mae demand that Walter reveal the location of his uncles' fortune, claiming they were actually bank robbers. When Walter chooses to believe in his uncles instead, Stan pins Walter down and begins beating him. Sensing that he is in danger, the lioness emerges from the cornfield and mauls Stan. Awakened by the ruckus, Hub and Garth find the old lioness has died of heart failure defending her “cub”.
The next day, Walter leaves with his mother. Once on the road, Mae explains that Stan will be staying with them to recuperate, but Walter asks her instead to ""do something that's best for me for once"" and abandons her. While Hub and Garth are delighted to see him back, Walter insists there have to be changes: His uncles must involve themselves in his education and live carefully, as he wants them to die of old age.
Seventeen years later, Walter is alerted by the sheriff of his uncles' deaths from a failed flying stunt with their biplane. Arriving at the farm, he is given his uncles' will, declaring ""The kid gets it all. Just plant us in the damn garden, with the stupid lion."" A helicopter bearing the logo Sahara Petroleum then touches down near the homestead and a man steps out with his young son, explaining that he heard about Hub and Garth's deaths on the radio. He had recognized the names as the two Americans in tales told to him in his youth by his grandfather, ""a very wealthy sheik"". When the man's young son asks Walter if his uncles were real, Walter confirms, ""Yeah. They really lived.""",comedy drama year old walter haley joel osment leave irresponsible mother mae kyra sedgwick live summer reclusive bachelor great uncle hub robert duvall garth michael caine despite live ramshackle texan farm say secret fortune target travel salesman turn sit porch shotgun salesman target walter give room attic welcome realize annoy gold dig relative visit child walter persuade uncle try spend money generally disastrous result packet seed plant vegetable garden turn corn order lion animal target end age tame lioness turn walter pet later release accident take cornfield new jungle home load pound bag lion chow hub pass take hospital leave encounter greaser roadside store draw switchblade knife hub easily beat fight subplot develop photograph beautiful woman walter find attic series flashback garth tell walter story african past hub fall love arab princess promise powerful sheik marry sheik price hub head keep constant peril assassin finally hub win duel sheik spare life warn cease manhunt walter ask hear hub uncle reveal jasmine die childbirth hub return french foreign legion retire garth farm resignedly wait die walter ask hub confirmation mother lie hub respond piece boy need know speech actual truth important belief ideal walter ask hub promise rest speech old hub grudgingly agree late evening walter trail garth discover room fill money underneath barn night walter mother current boyfriend supposed private investigator arrive uncle sleep stan mae demand walter reveal location uncle fortune claim actually bank robber walter choose believe uncle instead stan pin walter begin beat sense danger lioness emerge cornfield maul stan awaken ruckus hub garth find old lioness die heart failure defend cub day walter leave mother road mae explain stan stay recuperate walter ask instead good abandon hub garth delighted walter insist change uncle involve education live carefully want die old age seventeen year later walter alert sheriff uncle death fail flying stunt biplane arrive farm give uncle declare kid get plant damn garden stupid lion helicopter bear logo sahara petroleum touch near homestead man step young son explain hear hub garth death radio recognize name americans tale tell youth grandfather wealthy sheik man young son ask walter uncle real walter confirm yeah live
Kurukshetra,"action, romance","Kurukshetra is a story of war between evil and truth and how truth is sometimes hidden by those in power and authority .
Police commander Prithviraj Singh (Sanjay Dutt) is an honest and brave police officer. All dishonest police officers, rogues, criminals and corrupt politicians are scared of him. The day he joins duty in Mumbai, he destroys all the illegal business of Iqbal Pasina (Mukesh Rishi). From that day onwards, Iqbal Pasina starts admiring Prithviraj .
In his personal life, Prithviraj lives with his wife, Anjali (Mahima Chaudhary) and sister, Aarti. Aarti is in love with -Inspector Avinash. Anjali is sad because ""Prithvi"" who used to love her but now Prithviraj is a totally different man, a man of law and duties -She lost her lover to the uniform.
One day , a tycoon smuggler and ringleader Baburao Deshmukh's son Ambar and his friend Rohit, trap a girl named Gita Naik in a hotel room and both of them rape her.
This brutal incident evokes into the battle of ""Kurukshetra"".
The battle is fought between Baburao and police commander Prithviraj . Babu Rao Deshmukh (Om Puri) has money, power and government infrastructure and Prithvi Raj Singh gets the support from opposition leader Sambhaji Yadav and Sir Iqbal Pasina .
Sambhaji Yadav later betrays Prithviraj and joins hands with the Baburao. Finally, Prithviraj realizes that law is helpless and kills both Baburao and Sambhaji Yadav to avenge the perpetrators of the rape incident and bring Justice.",action romance kurukshetra story war evil truth truth hide power authority police commander prithviraj singh sanjay dutt honest brave police officer dishonest police officer rogue criminal corrupt politician scared day join duty mumbai destroy illegal business iqbal pasina mukesh rishi day onwards iqbal pasina start admire prithviraj personal life prithviraj live wife anjali mahima chaudhary sister aarti aarti love avinash anjali sad prithvi love prithviraj totally different man man law duty lose lover uniform day tycoon smuggler ringleader baburao deshmukh son ambar friend rohit trap girl name gita naik hotel room rape brutal incident evoke battle kurukshetra battle fight baburao police commander prithviraj babu rao deshmukh om puri money power government infrastructure prithvi raj singh get support opposition leader sambhaji yadav sir iqbal pasina sambhaji yadav later betray prithviraj join hand baburao finally prithviraj realize law helpless kill baburao sambhaji yadav avenge perpetrator rape incident bring justice
